nohup: ignoring input
nohup: ignoring input
SGCN!

use cuda: True
Namespace(name='cora', k=None, lr=0.0005, n_clusters=7, n_z=10, cuda=True, pretrain_path='data/cora.pkl', n_input=1433)
SDCN(
  (ae): AE(
    (enc_1): Linear(in_features=1433, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=1433, bias=True)
  )
  (gnn_1): GNNLayer()
  (gnn_2): GNNLayer()
  (gnn_3): GNNLayer()
  (gnn_4): GNNLayer()
  (gnn_5): GNNLayer()
)
50Q :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481
50Z :acc 0.5816 , nmi 0.3715 , ari 0.3165 , f1 0.4478
50P :acc 0.5148 , nmi 0.2599 , ari 0.2331 , f1 0.4482


51Q :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481
51Z :acc 0.5842 , nmi 0.3709 , ari 0.3200 , f1 0.4496
51P :acc 0.5148 , nmi 0.2599 , ari 0.2331 , f1 0.4482


52Q :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481
52Z :acc 0.5809 , nmi 0.3729 , ari 0.3160 , f1 0.4459
52P :acc 0.5148 , nmi 0.2599 , ari 0.2331 , f1 0.4482


53Q :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481
53Z :acc 0.5894 , nmi 0.3735 , ari 0.3259 , f1 0.4536
53P :acc 0.5148 , nmi 0.2599 , ari 0.2331 , f1 0.4482


54Q :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481
54Z :acc 0.5801 , nmi 0.3721 , ari 0.3129 , f1 0.4460
54P :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481


55Q :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481
55Z :acc 0.5956 , nmi 0.3801 , ari 0.3343 , f1 0.4574
55P :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481


56Q :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481
56Z :acc 0.5798 , nmi 0.3740 , ari 0.3110 , f1 0.4463
56P :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481


57Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4484
57Z :acc 0.5927 , nmi 0.3785 , ari 0.3297 , f1 0.4556
57P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


58Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
58Z :acc 0.5842 , nmi 0.3714 , ari 0.3172 , f1 0.4498
58P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


59Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
59Z :acc 0.5831 , nmi 0.3715 , ari 0.3150 , f1 0.4489
59P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


60Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
60Z :acc 0.5968 , nmi 0.3785 , ari 0.3339 , f1 0.4598
60P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


61Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
61Z :acc 0.5775 , nmi 0.3699 , ari 0.3052 , f1 0.4467
61P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


62Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
62Z :acc 0.5979 , nmi 0.3788 , ari 0.3347 , f1 0.4608
62P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


63Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
63Z :acc 0.5853 , nmi 0.3716 , ari 0.3163 , f1 0.4531
63P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


64Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
64Z :acc 0.5864 , nmi 0.3728 , ari 0.3175 , f1 0.4550
64P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


65Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
65Z :acc 0.5960 , nmi 0.3751 , ari 0.3309 , f1 0.4619
65P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


66Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
66Z :acc 0.5827 , nmi 0.3730 , ari 0.3108 , f1 0.4532
66P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


67Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
67Z :acc 0.5956 , nmi 0.3758 , ari 0.3300 , f1 0.4633
67P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


68Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
68Z :acc 0.5931 , nmi 0.3722 , ari 0.3255 , f1 0.4626
68P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


69Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
69Z :acc 0.5835 , nmi 0.3692 , ari 0.3122 , f1 0.4557
69P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


70Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
70Z :acc 0.5942 , nmi 0.3737 , ari 0.3276 , f1 0.4642
70P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


71Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
71Z :acc 0.5860 , nmi 0.3701 , ari 0.3160 , f1 0.4597
71P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


72Q :acc 0.5155 , nmi 0.2605 , ari 0.2334 , f1 0.4492
72Z :acc 0.5901 , nmi 0.3713 , ari 0.3206 , f1 0.4619
72P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


73Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
73Z :acc 0.5916 , nmi 0.3720 , ari 0.3224 , f1 0.4640
73P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


74Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
74Z :acc 0.5846 , nmi 0.3685 , ari 0.3143 , f1 0.4584
